steamLink,header,Name,Copies Sold (LTD),Gross Revenue (LTD),Steam Followers,Current CCU,Today's Top CCU,All-Time High CCU,Review Count,Review Score,Release Date,Tags
https://store.steampowered.com/app/313740,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/313740/header.jpg?t=1667500017,Sakura Spirit,367900,1187000,22365,3,5,33,4998,77%,2014-07-09,"[""Anime"",""Visual Novel"",""Nudity"",""Mature"",""Dating Sim"",""Singleplayer"",""Cute"",""Sexual Content"",""Indie"",""Romance"",""Fantasy"",""Hentai"",""Short"",""Simulation"",""Casual"",""2D"",""Beautiful"",""Comedy"",""Memes"",""Dog""]"
https://store.steampowered.com/app/1607130,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1607130/header.jpg?t=1725021260,Lust Theory - Season 1,360600,3653000,39276,44,54,1417,3274,89%,2021-08-06,"[""Sexual Content"",""Nudity"",""Mature"",""NSFW"",""3D"",""Visual Novel"",""Dating Sim"",""Choose Your Own Adventure"",""Immersive Sim"",""Romance"",""RPG"",""Cute"",""Choices Matter"",""Simulation"",""Realistic"",""Story Rich"",""Funny"",""Casual"",""Singleplayer"",""Sci-fi""]"
https://store.steampowered.com/app/1149660,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1149660/header.jpg?t=1732693057,Seek Girl Ⅱ,356700,172000,11138,1,4,30,2377,81%,2019-09-30,"[""Sexual Content"",""Nudity"",""Mature"",""Hentai"",""NSFW"",""Casual"",""Indie"",""Anime"",""Puzzle"",""Dating Sim"",""Singleplayer"",""Female Protagonist"",""Visual Novel"",""Cute"",""Choose Your Own Adventure"",""Romance"",""World War II"",""RPG""]"
https://store.steampowered.com/app/2378900,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2378900/header.jpg?t=1733039913,The Coffin of Andy and Leyley,351800,2875000,53998,186,190,794,23167,96%,2023-10-13,"[""Psychological"",""Dark Comedy"",""Story Rich"",""Multiple Endings"",""Dark"",""Choices Matter"",""Singleplayer"",""Horror"",""Demons"",""Visual Novel"",""Drama"",""Adventure"",""Hand-drawn"",""RPGMaker"",""Puzzle"",""Female Protagonist"",""Stylized"",""RPG"",""Early Access"",""Exploration""]"
https://store.steampowered.com/app/1604000,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1604000/header.jpg?t=1658165566,Milk outside a bag of milk outside a bag of milk,351100,1565000,18875,52,70,157,15341,97%,2021-12-16,"[""Psychological Horror"",""Visual Novel"",""Psychedelic"",""Pixel Graphics"",""Story Rich"",""Indie"",""Abstract"",""Multiple Endings"",""2D"",""Psychological"",""Text-Based"",""Singleplayer"",""Surreal"",""Horror"",""Anime"",""Female Protagonist"",""Great Soundtrack"",""Casual"",""Point & Click"",""Choices Matter""]"
https://store.steampowered.com/app/1360980,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1360980/header.jpg?t=1723887433,Fetish Locator Week One,343300,2602000,17817,47,61,246,2323,85%,2020-07-27,"[""Sexual Content"",""Nudity"",""Visual Novel"",""Dating Sim"",""3D"",""Adventure"",""Choose Your Own Adventure"",""NSFW"",""Realistic"",""LGBTQ+"",""Life Sim"",""America"",""Conspiracy"",""Romance"",""Drama"",""Mature"",""Funny"",""Choices Matter"",""Story Rich"",""Singleplayer""]"
https://store.steampowered.com/app/1394800,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1394800/header.jpg?t=1671867284,Rebirth:Mr Wang,339800,996000,22278,5,14,1812,3002,81%,2020-10-03,"[""Sexual Content"",""Mature"",""NSFW"",""Visual Novel"",""Nudity"",""RPG"",""Dating Sim"",""Indie"",""Puzzle"",""Cute"",""Casual"",""Hentai"",""FPS"",""Singleplayer"",""Linear"",""Anime"",""Story Rich"",""Multiple Endings""]"
https://store.steampowered.com/app/1045520,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1045520/header.jpg?t=1723893770,Acting Lessons,336700,2732000,16166,17,21,56,4953,96%,2018-12-10,"[""Sexual Content"",""Nudity"",""Mature"",""NSFW"",""Visual Novel"",""Story Rich"",""Choices Matter"",""Romance"",""Indie"",""Realistic"",""Multiple Endings"",""Violent"",""Singleplayer"",""Drama"",""Gore"",""Replay Value"",""Modern"",""Comedy"",""Funny"",""Episodic""]"
https://store.steampowered.com/app/1239020,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1239020/header.jpg?t=1709261283,TOGETHER BnB,334300,3579000,97841,8,36,4241,7287,60%,2021-04-09,"[""Early Access"",""Sexual Content"",""3D"",""Dating Sim"",""Open World"",""Simulation"",""FPS"",""Visual Novel"",""Life Sim"",""Adventure"",""Anime"",""Casual"",""RPG"",""Cute"",""Indie"",""Realistic"",""First-Person"",""Exploration"",""Beautiful"",""Walking Simulator""]"
https://store.steampowered.com/app/1802870,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1802870/header.jpg?t=1721799154,Secret Pie (Adult Version),331100,1365000,37594,11,25,151,2209,85%,2021-11-18,"[""Sexual Content"",""Nudity"",""Mature"",""Hentai"",""Visual Novel"",""Simulation"",""Dating Sim"",""NSFW"",""Cute"",""Atmospheric"",""Romance"",""Casual"",""Adventure"",""Text-Based"",""2D"",""Cinematic"",""Drama"",""Singleplayer"",""Indie"",""Hidden Object""]"
https://store.steampowered.com/app/1641270,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1641270/header.jpg?t=1623427154,枝江往事,329400,0,8653,1,3,1142,4880,96%,2021-06-11,"[""Casual"",""Interactive Fiction"",""Visual Novel"",""Word Game"",""JRPG"",""Immersive Sim"",""Clicker"",""2D"",""Anime"",""Pixel Graphics"",""Cartoon"",""Drama"",""Cute"",""Emotional"",""Detective"",""Sci-fi"",""Story Rich"",""Free to Play"",""Multiple Endings"",""Female Protagonist""]"
https://store.steampowered.com/app/423880,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/423880/header.jpg?t=1729273784,Carpe Diem,325800,0,9440,4,4,43,8512,89%,2015-11-30,"[""Free to Play"",""Anime"",""Visual Novel"",""Short"",""Singleplayer"",""Indie"",""Cute"",""Dating Sim"",""Casual"",""Sexual Content"",""Nudity"",""2D"",""Psychological Horror"",""Romance"",""Story Rich"",""Mature"",""Memes"",""Family Friendly"",""Hentai"",""Female Protagonist""]"
https://store.steampowered.com/app/1207650,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1207650/header.jpg?t=1728063488,Suzerain,323800,2692000,19610,346,359,3333,7529,93%,2020-12-04,"[""Visual Novel"",""Choose Your Own Adventure"",""Political Sim"",""Interactive Fiction"",""Political"",""Choices Matter"",""Text-Based"",""Story Rich"",""Multiple Endings"",""Strategy RPG"",""Point & Click"",""RPG"",""Politics"",""Alternate History"",""Drama"",""Adventure"",""Singleplayer"",""Old School"",""Narrative"",""Hand-drawn""]"
https://store.steampowered.com/app/2756830,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2756830/header.jpg?t=1733508888,Sex Coach: Hot Yoga - Prologue,319200,0,5689,23,30,629,1260,73%,2024-01-31,"[""Sexual Content"",""Nudity"",""Mature"",""NSFW"",""Hentai"",""Visual Novel"",""Realistic"",""Romance"",""Choices Matter"",""Story Rich"",""Singleplayer"",""Indie"",""Choose Your Own Adventure"",""Dating Sim"",""Multiple Endings"",""Replay Value"",""Drama"",""3D"",""Adventure"",""Comedy""]"
https://store.steampowered.com/app/1724190,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1724190/header.jpg?t=1725894856,Come Home,316100,0,11997,144,144,778,4133,92%,2021-10-15,"[""Sexual Content"",""Nudity"",""Free to Play"",""NSFW"",""Dating Sim"",""Visual Novel"",""3D"",""Mature"",""Singleplayer"",""Romance"",""Casual"",""Multiple Endings"",""Story Rich"",""LGBTQ+"",""Relaxing"",""Conversation"",""Funny"",""Indie"",""Early Access"",""Comedy""]"
https://store.steampowered.com/app/589780,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/589780/header.jpg?t=1728690203,The Red Strings Club,311000,1769000,29496,33,72,253,11128,93%,2018-01-22,"[""Cyberpunk"",""Pixel Graphics"",""Story Rich"",""Choices Matter"",""Great Soundtrack"",""Atmospheric"",""Indie"",""Adventure"",""Point & Click"",""Singleplayer"",""LGBTQ+"",""Sci-fi"",""Visual Novel"",""2D"",""Nudity"",""Dystopian"",""Philosophical"",""Violent"",""Puzzle"",""Retro""]"
https://store.steampowered.com/app/1392820,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1392820/header.jpg?t=1689509158,Milk inside a bag of milk inside a bag of milk,310100,145000,9702,24,31,56,25432,96%,2020-08-26,"[""Visual Novel"",""Psychological Horror"",""Horror"",""Experimental"",""Abstract"",""Psychological"",""Interactive Fiction"",""Adventure"",""Text-Based"",""Anime"",""Drama"",""Retro"",""Philosophical"",""Emotional"",""Pixel Graphics"",""Story Rich"",""Indie"",""Singleplayer"",""Perma Death"",""Surreal""]"
https://store.steampowered.com/app/1093910,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1093910/header.jpg?t=1628498556,Tales of the Black Forest,308100,345000,9287,11,51,166,12602,97%,2019-09-25,"[""RPG"",""RPGMaker"",""Pixel Graphics"",""Horror"",""Adventure"",""Indie"",""Story Rich"",""Female Protagonist"",""Anime"",""Visual Novel"",""Atmospheric"",""Singleplayer"",""Psychological Horror"",""Puzzle"",""2D"",""Hentai""]"
https://store.steampowered.com/app/777130,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/777130/header.jpg?t=1724975043,Blush Blush,305100,6708000,11833,350,420,2581,7001,87%,2019-04-04,"[""Sexual Content"",""LGBTQ+"",""Dating Sim"",""Free to Play"",""Nudity"",""Hentai"",""Anime"",""Romance"",""Clicker"",""Mature"",""Otome"",""Casual"",""Cute"",""Visual Novel"",""Simulation"",""Singleplayer"",""Indie"",""Funny"",""Resource Management"",""Early Access""]"
https://store.steampowered.com/app/251990,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/251990/header.jpg?t=1666988646,Long Live The Queen,301500,1524000,11938,10,16,2623,5674,95%,2013-11-08,"[""Visual Novel"",""Political Sim"",""Anime"",""Female Protagonist"",""Simulation"",""Indie"",""Difficult"",""Strategy"",""Singleplayer"",""Fantasy"",""RPG"",""Cute"",""Multiple Endings"",""Medieval"",""Choose Your Own Adventure"",""Choices Matter"",""Politics"",""Story Rich"",""Character Customization"",""2D""]"
https://store.steampowered.com/app/1421250,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1421250/header.jpg?t=1726367535,Tiny Bunny,295400,2330000,24523,204,207,5603,16943,96%,2021-04-16,"[""Visual Novel"",""Horror"",""Story Rich"",""Atmospheric"",""Dark"",""Psychological Horror"",""Choices Matter"",""Singleplayer"",""Gore"",""2D"",""Violent"",""Interactive Fiction"",""Adventure"",""Mature"",""Point & Click"",""Anime"",""Cute"",""Great Soundtrack"",""Early Access"",""Indie""]"
https://store.steampowered.com/app/1860860,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1860860/header.jpg?t=1704498564,Flower girl 2,294200,80000,10566,0,7,55,2134,81%,2022-07-21,"[""Sexual Content"",""Nudity"",""Hentai"",""Mature"",""NSFW"",""Free to Play"",""Anime"",""Casual"",""Visual Novel"",""2D Platformer"",""Match 3"",""First-Person"",""Story Rich"",""Cartoon"",""Singleplayer"",""Fantasy"",""Indie"",""Psychological Horror"",""Multiple Endings"",""FPS""]"
